skillID,commonName,commonValue
0000257,y,u(x/2)
0000257,w,u(x/2)
0000258,maxLevel,6
0000258,incMobCollectionProp,5+5*x
0000258,cr,1+x+u(x/2)
0000259,maxLevel,6
0000259,incMobCollectionProp,5+5*x
0000259,cr,1+x+u(x/2)
0000260,maxLevel,6
0000260,incMobCollectionProp,5+5*x
0000260,cr,1+x+u(x/2)
0000261,maxLevel,6
0000261,time,10
0000261,indieDamR,3*x
0000261,cooltime,20
0000262,maxLevel,6
0000262,time,10
0000262,indieDamR,3*x
0000262,cooltime,20
0000263,maxLevel,6
0000263,time,10
0000263,indieDamR,3*x
0000263,cooltime,20
0000264,maxLevel,6
0000264,strX,10+10*x
0000264,dexX,10+10*x
0000264,intX,10+10*x
0000264,lukX,10+10*x
0000264,mhpX,175+175*x
0000264,mmpX,175+175*x
0000264,damAbsorbShieldR,3+2*x
0000264,cooltime,5
0000265,maxLevel,6
0000265,strX,10+10*x
0000265,dexX,10+10*x
0000265,intX,10+10*x
0000265,lukX,10+10*x
0000265,mhpX,175+175*x
0000265,mmpX,175+175*x
0000265,damAbsorbShieldR,3+2*x
0000265,cooltime,5
0000110,maxLevel,6
0000110,strX,10+10*x
0000110,dexX,10+10*x
0000110,intX,10+10*x
0000110,lukX,10+10*x
0000110,mhpX,175+175*x
0000110,mmpX,175+175*x
0000110,damAbsorbShieldR,3+2*x
0000110,cooltime,5
0001281,maxLevel,1
0001281,x,002000100
0001281,cooltime,600
0001282,maxLevel,1
0001282,x,103050000
0001282,cooltime,600
0001283,maxLevel,1
0001283,x,120000000
0001283,cooltime,600
0001297,maxLevel,1
0001297,x,100051000
0001297,cooltime,600
1001005,mpCon,3+d(x/6)
1001005,damage,175+8*x
1001005,mobCount,6
1001005,attackCount,1
1001005,maxLevel,20
1001008,mpCon,15-2*d(x/2)
1001008,maxLevel,5
1001008,x,450+50*x
1001008,y,310+30*x
1001011,maxLevel,5
1001011,mpCon,20
1001011,damage,299+x
1001011,mobCount,5
1001011,attackCount,1
1001011,y,1200
1001011,maxUseCountInOneJump,1
1001011,z,90
1001010,maxLevel,1
1001010,damage,89+x
1001010,attackCount,2
1001010,mobCount,4
1001010,v,45
1001010,range,400
1001010,mpCon,5
1001010,attackDelay,510
1001010,u,400
1001010,w,120
1000003,maxLevel,20
1000003,damAbsorbShieldR,u(x/2)
1000003,pddX,10*x
1000003,mhpR,x
1000009,maxLevel,15
1000009,stanceProp,10+2*x
1000009,psdJump,2+u(x/2)
1000009,psdSpeed,2+u(x/2)
1000009,lv2mhp,5+x
1000009,speedMax,2+u(x/2)
1000007,maxLevel,1
1000007,x,400
1000007,PVPdamage,1
1101011,mpCon,10+d(x/3)
1101011,damage,220+3*x
1101011,mobCount,6
1101011,attackCount,2
1101011,ballDelay,0
1101011,ballDelay1,420
1101011,maxLevel,20
1101011,q,120
1101011,q2,120
1101014,maxLevel,9
1101014,mpCon,30
1101014,damage,100+5*x
1101014,attackCount,5
1101014,mobCount,6
1101014,range,600
1101014,x,30
1101014,v,80
1101014,updatableTime,1000
1101014,u,70
1101014,y,60
1101014,subTime,60
1101014,cooltime,4
1101013,x,5
1101013,prop,40
1101013,maxLevel,1
1101013,y,2
1101006,mpCon,4+8*u(x/10)
1101006,indiePad,10+x
1101006,time,80+6*x
1101006,indiePowerGuard,10+x
1101006,y,100+20*x
1101006,maxLevel,20
1100000,mastery,10+4*x
1100000,x,24*x
1100000,maxLevel,10
1100000,pdR,x
1100000,actionSpeed,-1
1100015,maxLevel,10
1100015,strX,2*x
1100002,damage,100+5*d(x/2)
1100002,prop,2*x
1100002,maxLevel,20
1100009,strX,6*x
1100009,dexX,6*x
1100009,maxLevel,5
1111010,mpCon,14+u(x/4)
1111010,damage,198+3*x
1111010,attackCount,3
1111010,mobCount,6
1111010,maxLevel,20
1111016,maxLevel,20
1111016,mpCon,35+x
1111016,damage,100+4*x
1111016,mobCount,8
1111016,attackCount,5
1111016,attackDelay,120
1111016,cooltime,7
1111016,u,100+4*x
1111012,maxLevel,10
1111012,mpCon,8+3*u(x/3)
1111012,damage,245+6*x
1111012,attackCount,1
1111012,mobCount,7+d(x/2)
1111003,maxLevel,20
1111003,mpCon,10+d(x/2)
1111003,time,80+6*x
1111003,prop,40+3*x
1111003,x,10+u(x/2)
1111003,w,10+x
1111003,v,20
1110013,prop,40+2*x
1110013,subProp,10+x
1110013,damR,u(x/4)
1110013,maxLevel,20
1110013,x,5
1110000,maxLevel,10
1110000,x,u(x/4)+1
1110000,y,u(x/4)+1
1110000,hcHp,4000*x
1110000,u,9-d(x/2)
1110009,maxLevel,10
1110009,damage,105+2*x
1110009,x,5+2*x
1110009,cr,2*x
1110011,asrR,16+x
1110011,terR,16+x
1110011,maxLevel,14
1121008,maxLevel,30
1121008,mpCon,20+2*u(x/3)
1121008,damage,200+4*x
1121008,attackCount,4
1121008,mobCount,8
1121008,x,224+4*x
1121008,y,4
1121008,damPlus,40+x
1120017,mpCon,20+2*u(x/3)
1120017,damage,224+4*x
1120017,attackCount,4
1120017,mobCount,8
1120017,maxLevel,30
1121015,maxLevel,30
1121015,mpCon,30+2*d(x/8)
1121015,x,10+u(x/2)
1121015,u,u(x/3)
1121015,damage,310+3*x
1121015,mobCount,8
1121015,attackCount,4
1121015,y,1
1121015,dot,75+3*x
1121015,time,45+d(x/2)
1121015,prop,40+2*x
1121015,dotInterval,2
1121015,dotTime,45+d(x/2)
1121015,nbdR,50
1121016,mpCon,35-2*x
1121016,prop,20+8*x
1121016,time,6+4*u(x/3)
1121016,cooltime,60
1121016,mobCount,10
1121016,maxLevel,10
1121010,mpCon,80-x
1121010,x,10+d(x/2)
1121010,mobCount,3
1121010,time,21000000
1121010,maxLevel,30
1121010,y,10+d(x/3)
1121010,z,0
1121010,w,3
1121000,mpCon,10+10*d(x/5)
1121000,x,u(x/2)
1121000,time,30*x
1121000,maxLevel,30
1121011,mpCon,30
1121011,cooltime,600-60*x
1121011,time,1
1121011,maxLevel,5
1120003,damR,u(x/6)
1120003,x,5+d(x/6)
1120003,v,5+u(x/6)
1120003,prop,20+2*x
1120003,mastery,55+d(x/2)
1120003,maxLevel,30
1120012,ignoreMobpdpR,20+x
1120012,maxLevel,30
1120014,maxLevel,30
1120014,stanceProp,2*x
1120013,damage,110+2*x
1120013,prop,45+u(x/2)
1120013,ar,u(x/3)
1120013,padX,x
1120013,maxLevel,30
1120013,attackCount,3
1120043,maxLevel,1
1120043,damR,2
1120044,maxLevel,1
1120044,prop,20
1120045,maxLevel,1
1120045,w,2
1120046,maxLevel,1
1120046,damR,10
1120047,maxLevel,1
1120047,padX,20
1120048,maxLevel,1
1120048,prop,15
1120049,maxLevel,1
1120049,damR,20
1120050,maxLevel,1
1120050,targetPlus,2
1120051,maxLevel,1
1120051,attackCount,1
1121052,maxLevel,1
1121052,mpCon,200
1121052,damage,500
1121052,attackCount,8
1121052,mobCount,10
1121052,cooltime,10
1121053,maxLevel,1
1121053,mpCon,100
1121053,time,60
1121053,cooltime,120
1121053,indieDamR,10
1121054,maxLevel,1
1121054,mpCon,300
1121054,x,100
1121054,y,100
1121054,time,30
1121054,cooltime,120
1121054,indieCr,30
1121054,z,167
1121054,indiePad,50
1121054,w,3
1121054,damage,370
1121054,mobCount,6
1121054,u2,12
1121054,attackCount,2
1121055,maxLevel,1
1121055,damage,370
1121055,w,3
1121055,subTime,900
1121055,time,10000
1121055,attackDelay,120
1121055,q,70
1121055,q2,30
1121055,x,1
1121055,u,300
1141000,maxLevel,30
1141000,mpCon,45+d(x/5)
1141000,damage,350+6*x
1141000,attackCount,4
1141000,mobCount,8
1141000,x,380+7*x
1141000,y,4
1141001,maxLevel,30
1141001,mpCon,45+d(x/5)
1141001,damage,380+7*x
1141001,attackCount,4
1141001,mobCount,8
1141001,w,1000
1141500,maxLevel,30
1141500,mpCon,1200
1141500,mobCount,15
1141500,attackCount,14
1141500,cooltime,360
1141500,damage,1950+65*x
1141500,updatableTime,8000
1141500,ndTime,8080
1141500,u,12
1141500,ignoreMobpdpR,log10(x)*20+log30(x)*30
1141500,bdR,log20(x)*20+log30(x)*30
1201015,maxLevel,20
1201015,mpCon,10+x
1201015,damage,120+2*x
1201015,mobCount,6
1201015,attackCount,4
1201015,x,10+4*x
1201015,y,2+u(x/5)
1200014,x,2
1200014,y,8
1200014,z,5
1200014,time,30
1200014,maxLevel,1
1200014,w,2
1200014,u,2
1201013,mpCon,11+x
1201013,damage,116+x
1201013,attackCount,2
1201013,mobCount,8
1201013,prop,35+5*x
1201013,time,1+u(x/4)
1201013,maxLevel,9
1201013,x,-20
1201013,y,6
1200004,maxLevel,10
1200004,strX,2*x
1200016,maxLevel,20
1200016,stanceProp,3*x
1200000,mastery,10+4*x
1200000,x,12*x
1200000,maxLevel,10
1200000,actionSpeed,-1
1200002,damage,60+x
1200002,prop,2*x
1200002,maxLevel,20
1200002,attackCount,2
1200009,maxLevel,5
1200009,strX,6*x
1200009,dexX,6*x
1211018,mpCon,20+5*u(x/7)
1211018,damage,250+3*x
1211018,mad,40
1211018,prop,40+3*x
1211018,time,5+d(x/4)
1211018,mobCount,8
1211018,attackCount,4
1211018,x,1
1211018,maxLevel,20
1211010,mpCon,20+4*u(x/2)
1211010,x,20+3*x
1211010,y,10
1211010,z,10
1211010,time,25-x
1211010,maxLevel,10
1211012,mpCon,8+3*u(x/3)
1211012,damage,245+6*x
1211012,attackCount,1
1211012,mobCount,7+d(x/2)
1211012,maxLevel,10
1211013,mpCon,12+3*u(x/5)
1211013,time,40+2*x
1211013,x,-30-1*x
1211013,y,-30-1*x
1211013,mobCount,6
1211013,z,30+x
1211013,subTime,3+u(x/4)
1211013,prop,40+3*x
1211013,maxLevel,20
1211013,w,30+1*x
1211014,maxLevel,10
1211014,mpCon,22+2*u(x/2)
1211014,x,10+x
1211014,y,10+x
1211014,indiePad,2*x
1211011,mpCon,20+4*u(x/5)
1211011,x,u(x/19)
1211011,time,80+6*x
1211011,maxLevel,20
1210001,x,100+15*x
1210001,y,x
1210001,prop,4*x
1210001,subProp,6*x
1210001,time,1+u(x/4)
1210001,asrR,10+3*x
1210001,terR,10+3*x
1210001,maxLevel,10
1210015,x,840-10*x
1210015,t,16+x
1210015,y,16+x
1210015,maxLevel,14
1210016,prop,10*x
1210016,epad,2*x
1210016,x,x
1210016,y,5+2*x
1210016,time,90
1210016,cooltime,30
1210016,maxLevel,10
1210016,s,1
1221019,mpCon,25+x
1221019,damage,300+4*x
1221019,mobCount,10
1221019,attackCount,7
1221019,cooltime,7
1221019,maxLevel,30
1221019,s2,10
1221019,u2,200+3*x
1221019,v2,5
1221019,w2,40+2*x
1221019,nbdR,30
1221019,prop,100
1221019,time,10
1221019,x,1
1221020,damage,200+3*x
1221020,mobCount,10
1221020,attackCount,5
1221020,attackDelay,600
1221020,maxLevel,30
1221020,x,200
1221020,y,0
1221020,updatableTime,1000
1221021,mpCon,35
1221021,damage,350+2*x
1221021,mad,40
1221021,prop,100
1221021,time,10
1221021,mobCount,8
1221021,attackCount,4
1221021,x,1
1221021,maxLevel,30
1221009,mpCon,14+u(x/3)
1221009,damage,215+3*x
1221009,attackCount,10
1221009,mobCount,3
1221009,time,0
1221009,prop,0
1221009,x,1
1221009,maxLevel,30
1220022,maxLevel,30
1220022,x,5
1220022,time,30
1220022,u,430+4*x
1220022,w,10
1220022,v,1
1220022,ignoreMobpdpR,20
1221023,maxLevel,30
1221023,damage,430+4*x
1221023,attackCount,10
1221023,mobCount,1
1221014,mpCon,35-2*x
1221014,prop,20+8*x
1221014,time,6+4*u(x/3)
1221014,cooltime,60
1221014,mobCount,10
1221014,maxLevel,10
1221014,hcTime,1+2*u(x/5)
1221014,hcProp,6*x
1221011,mpCon,30+x
1221011,damage,440+6*x
1221011,mobCount,15
1221011,cooltime,30-d(x/2)
1221011,attackCount,8
1221011,damageToBoss,440+6*x
1221011,maxLevel,30
1221011,bdR,30
1221015,maxLevel,30
1221015,mpCon,20+2*d(x/6)
1221015,indiePMdR,5+d(x/2)
1221015,time,110+3*x
1221015,x,0
1221000,mpCon,10+10*d(x/5)
1221000,x,u(x/2)
1221000,time,30*x
1221000,maxLevel,30
1221012,mpCon,30
1221012,cooltime,600-60*x
1221012,time,1
1221012,maxLevel,5
1221016,mpCon,150-5*x
1221016,time,5+d(x/4)
1221016,cooltime,1000-40*d(x/2)
1221016,maxLevel,20
1220018,maxLevel,30
1220018,mastery,55+u(x/2)
1220018,criticaldamage,5+d(x/3)
1220018,pddX,100+10*x
1220018,mddX,100+10*x
1220018,pdR,10+x
1220018,cr,10+x
1220018,ignoreMobpdpR,15+u(x/2)
1220010,prop,0
1220010,targetPlus,u(x/5)
1220010,attackCount,1
1220010,time,30
1220010,maxLevel,10
1220010,x,4+d(x/9)
1220010,y,10+d(x/5)
1220010,z,5
1220010,w,2
1220010,u,2
1220056,maxLevel,1
1220056,damR,20
1220057,maxLevel,1
1220057,cr,20
1220058,maxLevel,1
1220058,attackCount,1
1220046,maxLevel,1
1220046,damR,20
1220047,maxLevel,1
1220047,cr,20
1220048,maxLevel,1
1220048,attackCount,1
1220049,maxLevel,1
1220049,damR,20
1220051,maxLevel,1
1220051,coolTimeR,30
1220050,maxLevel,1
1220050,attackCount,2
1221052,maxLevel,1
1221052,mpCon,400
1221052,damage,500
1221052,mobCount,15
1221052,attackCount,6
1221052,time,10
1221052,cooltime,120
1221053,maxLevel,1
1221053,mpCon,100
1221053,time,60
1221053,cooltime,120
1221053,indieDamR,10
1221054,maxLevel,1
1221054,mpCon,600
1221054,time,30
1221054,cooltime,300
1221054,x,45
1221054,y,5
1221055,maxLevel,1
1221055,mpCon,600
1221055,time,30
1221055,cooltime,300
1241000,mpCon,30+d(x/6)
1241000,damage,345+4*x
1241000,attackCount,10
1241000,mobCount,4
1241000,maxLevel,30
1241000,ignoreMobpdpR,20
1240001,maxLevel,30
1240001,x,5
1240001,time,30
1240001,u,590+10*x
1240001,w,10
1240001,v,1
1240001,ignoreMobpdpR,20
1241002,maxLevel,30
1241002,damage,590+10*x
1241002,attackCount,10
1241002,mobCount,1
1241002,x,80
1241002,y,150
1241500,maxLevel,30
1241500,damage,1800+60*x
1241500,mobCount,15
1241500,attackCount,7
1241500,cooltime,360
1241500,mpCon,1200
1241500,updatableTime,6000
1241500,ndTime,6400
1241500,x,7
1241500,dot,1650+55*x
1241500,dotInterval,12
1241500,w,5
1241500,u,30
1241500,v,5
1241500,y,900+30*x
1241500,z,6
1241500,t,0.5
1241500,delayedSkillUseRequestTime,4500
1241500,ignoreMobpdpR,log10(x)*20+log30(x)*30
1241500,bdR,log20(x)*20+log30(x)*30
1241501,maxLevel,30
1241501,time,30
1241501,x,30
1241501,y,140
1241501,z,0
1241501,u,400
1241501,cooltime,360
1241502,maxLevel,30
1241502,damage,900+30*x
1241502,mobCount,5
1241502,attackCount,6
1241502,attackDelay,300
1241502,updatableTime,1000
1241502,cooltimeMS,500
1241502,x,300
1241502,y,420
1241503,maxLevel,30
1241503,damage,1650+55*x
1241503,attackCount,12
1241503,mobCount,15
1301012,mpCon,17+d(x/6)
1301012,damage,65+2*x
1301012,attackCount,4
1301012,mobCount,8
1301012,maxLevel,20
1301013,x,24
1301013,hp,20
1301013,maxLevel,1
1301013,damage,100+12*x
1301014,maxLevel,10
1301014,damage,120+3*x
1301014,attackCount,6
1301014,mobCount,10
1301014,prop,9*u(x/2)
1301014,time,5
1301014,cooltime,12
1301014,attackDelay,360
1301007,mpCon,20*u(x/7)
1301007,x,6*x
1301007,y,6*x
1301007,time,80+12*x
1301007,maxLevel,10
1300016,maxLevel,9
1300016,pddX,30*x
1300016,mddX,20*x
1300000,mastery,10+4*x
1300000,x,24*x
1300000,maxLevel,10
1300015,maxLevel,10
1300015,strX,2*x
1300002,damage,60+x
1300002,prop,2*x
1300002,maxLevel,20
1300002,attackCount,2
1300009,maxLevel,5
1300009,strX,6*x
1300009,dexX,6*x
1311011,maxLevel,20
1311011,mpCon,8+3*u(x/3)
1311011,damage,145+2*x
1311011,mobCount,10
1311011,attackCount,4
1311012,mpCon,8+3*u(x/3)
1311012,damage,245+6*x
1311012,attackCount,1
1311012,mobCount,7+d(x/2)
1311012,maxLevel,10
1311015,mpCon,10+d(x/2)
1311015,x,10+d(x/2)
1311015,y,1+u(x/3)
1311015,z,4000
1311015,time,80+6*x
1311015,maxLevel,20
1311015,pdR,2*x+10
1311015,q,50
1310013,maxLevel,10
1310013,damage,150+6*x
1310018,maxLevel,20
1310018,mpCon,8+2*d(x/6)
1310018,mobCount,10
1310018,attackCount,6
1310018,damage,135+4*x
1310018,prop,9*u(x/2)
1310018,time,5
1310018,cooltime,12
1311019,maxLevel,20
1311019,damage,135+4*x
1311019,attackCount,6
1311019,mobCount,10
1311019,prop,9*u(x/2)
1311019,time,5
1311019,cooltime,12
1311019,attackDelay,360
1310016,x,24-4*d(x/4)
1310016,time,20+4*x
1310016,epad,2*x
1310016,epdd,25*x
1310016,emdd,25*x
1310016,acc,15*x
1310016,eva,15*x
1310016,indieCr,u(x/2)
1310016,maxLevel,20
1310009,cr,10+2*x
1310009,criticaldamage,3+d(x/2)
1310009,prop,10*x
1310009,x,2
1310009,maxLevel,10
1310009,y,2
1310010,asrR,x+6
1310010,terR,x+6
1310010,maxLevel,14
1321013,maxLevel,30
1321013,mpCon,34+d(x/2)
1321013,damage,195+x
1321013,attackCount,12
1321013,mobCount,3
1321013,x,50+2*x
1321013,ignoreMobpdpR,x
1321012,maxLevel,30
1321012,mpCon,20+3*u(x/3)
1321012,attackCount,5+d(x/16)
1321012,mobCount,8
1321012,damage,160+4*x
1321012,z,0
1321020,maxLevel,1
1321020,cooltime,1
1321020,v,5000
1321020,u,270
1321020,z,5
1320016,x,80-2*x
1320016,psdSpeed,5+u(x/2)
1320016,damage,x
1320016,cr,u(x/3)
1320016,z,24
1320016,time,2
1320016,cooltime,390-7*x
1320016,y,70
1320016,q,10
1320016,maxLevel,30
1320016,criticaldamage,5+d(x/3)
1320016,u2,8
1320016,w,44
1320016,w2,80
1320016,q2,470-7*x
1320016,dot,20
1320016,u,40
1320016,v,52
1320016,s2,300
1320016,v2,1110-7*x
1320016,dotTime,40
1320019,maxLevel,30
1320019,x,1
1320019,time,1
1320021,maxLevel,30
1320021,x,1
1320021,z,24
1320021,time,2
1320021,cooltime,390-7*x
1320021,y,70
1320021,u,10
1320022,maxLevel,30
1320022,x,1
1320022,z,44
1320022,time,8
1320022,cooltime,470-7*x
1320022,y,80
1320022,u,20
1320023,x,1
1320023,z,52
1320023,y,300
1320023,time,40
1320023,u,40
1320023,cooltime,1110-7*x
1320023,maxLevel,30
1321015,mpCon,55+x
1321015,x,u(x/3)
1321015,y,10+3*x
1321015,time,15+d(x/2)
1321015,indieBDR,u(x/3)+5
1321015,ignoreMobpdpR,x
1321015,maxLevel,30
1321015,cooltime,70
1321015,u,350
1321015,t,0.35
1321015,v,2+d(x/5)
1321014,mpCon,35-2*x
1321014,prop,20+8*x
1321014,time,6+4*u(x/3)
1321014,cooltime,60
1321014,mobCount,10
1321014,maxLevel,10
1321000,mpCon,10+10*d(x/5)
1321000,x,u(x/2)
1321000,time,30*x
1321000,maxLevel,30
1321010,mpCon,30
1321010,cooltime,600-60*x
1321010,time,1
1321010,maxLevel,5
1320011,maxLevel,30
1320011,cooltime,5
1320011,attackCount,5
1320011,mobCount,10
1320011,damage,135+4*x
1320011,x,6
1320011,u,10
1320011,w,280+3*x
1320011,s,4
1320011,q,200+5*x
1320011,y,3
1320011,v,10
1320011,z,3
1321024,damage,280+3*x
1321024,attackCount,6
1321024,mobCount,10
1321024,prop,90
1321024,time,5
1321024,cooltime,10
1321024,maxLevel,30
1321024,attackDelay,360
1321024,z,200+5*x
1321024,u,3
1321024,x,3
1321025,maxLevel,30
1321025,mobCount,3
1321025,damage,200+5*x
1321025,attackCount,3
1321026,damage,135+4*x
1321026,maxLevel,30
1321026,attackCount,5
1321026,mobCount,10
1320018,maxLevel,30
1320018,mastery,55+u(x/2)
1320018,criticaldamage,5+d(x/3)
1320018,padX,x
1320017,maxLevel,30
1320017,stanceProp,2*x
1320043,maxLevel,1
1320043,damR,150
1320044,maxLevel,1
1320044,x,30
1320045,maxLevel,1
1320045,x,10
1320046,maxLevel,1
1320046,damage,5
1320046,u,5
1320047,maxLevel,1
1320047,u,30
1320047,v,30
1320047,x,30
1320047,z,30
1320048,maxLevel,1
1320048,cr,20
1320049,maxLevel,1
1320049,damR,20
1320050,maxLevel,1
1320050,ignoreMobpdpR,20
1320051,maxLevel,1
1320051,bdR,10
1321052,maxLevel,1
1321052,mpCon,200
1321052,damage,330
1321052,attackCount,10
1321052,mobCount,10
1321052,cooltime,10
1321053,maxLevel,1
1321053,mpCon,100
1321053,time,60
1321053,cooltime,120
1321053,indieDamR,10
1321054,maxLevel,1
1321054,mpCon,300
1321054,indiePad,50
1321054,x,9
1321054,time,25
1321054,cooltime,90
1341000,maxLevel,30
1341000,mpCon,60+d(x/3)
1341000,damage,240+5*x
1341000,attackCount,12
1341000,mobCount,4
1341000,x,120
1341000,ignoreMobpdpR,30+u(x/3)
1341500,maxLevel,30
1341500,mpCon,1200
1341500,damage,1800+60*x
1341500,mobCount,15
1341500,attackCount,6
1341500,updatableTime,9000
1341500,ndTime,7180
1341500,cooltime,360
1341500,x,2
1341500,z,15
1341500,y,3000+100*x
1341500,v,14
1341500,s,10
1341500,ignoreMobpdpR,log10(x)*20+log30(x)*30
1341500,bdR,log20(x)*20+log30(x)*30
1341501,maxLevel,30
1341501,damage,3000+100*x
1341501,mobCount,15
1341501,attackCount,14
2001008,maxLevel,20
2001008,mpCon,16+2*d(x/5)
2001008,range,340
2001008,mobCount,4
2001008,damage,18+3*x
2001008,attackCount,4
2001008,u,420
2001008,x,100
2001008,w,5
2001002,maxLevel,10
2001002,mpCon,8+u(x/2)
2001002,x,15+7*x
2001009,maxLevel,5
2001009,mpCon,30-2*x
2001009,x,115+15*x
2001009,y,270+5*x
2001011,maxLevel,1
2001011,mpCon,10
2001011,y,1200
2001011,x,5
2001011,u,20
2001012,maxLevel,1
2001012,time,5
2001012,mpCon,20
2001012,x,0
2001012,v,95
2001012,w,180
2001012,u,25
2001012,maxUseCountInOneJump,1
2000010,maxLevel,9
2000010,pddX,10*x
2000006,maxLevel,20
2000006,mmpR,x
2000006,lv2mmp,20+5*x
2000006,actionSpeed,-1
2000007,maxLevel,1
2000007,x,20
2000007,prop,15
2000007,time,5
2101004,maxLevel,20
2101004,mpCon,12+2*d(x/4)
2101004,damage,141+8*x
2101004,mobCount,6
2101004,attackCount,2
2100009,maxLevel,1
2100009,x,3
2100009,y,5
2100009,range,800
2101005,maxLevel,10
2101005,mpCon,11+3*d(x/4)
2101005,damage,130+5*x
2101005,mobCount,6
2101005,attackCount,6
2101005,dot,30+3*x
2101005,dotInterval,1
2101005,dotTime,5+d(x/2)
2101001,maxLevel,20
2101001,mpCon,10+d(x/3)
2101001,time,40+10*x
2101001,indieMad,10+x
2100011,maxLevel,10
2100011,intX,2*x
2101010,maxLevel,10
2101010,damage,30+x
2101010,subTime,1500
2101010,prop,10+4*x
2101010,mobCount,8
2101010,areaDotCount,20
2101010,attackCount,3
2101010,x,4+d(x/4)
2100010,maxLevel,10
2100010,damage,30+x
2100010,subTime,1500
2100010,time,4+d(x/4)
2100010,prop,10+4*x
2100010,mobCount,8
2100010,areaDotCount,20
2100010,attackCount,3
2100006,maxLevel,10
2100006,mastery,10+4*x
2100006,x,x
