skillID,desc,pdesc,h,ph,hch
0000093,잠재된 힘을 개방하여 순간적으로 최대의 능력을 발휘한다.,잠재된 힘을 개방하여 순간적으로 최대의 능력을 발휘한다.,"HP가 #z% 이하일 때 공격력, 방어력 #x% 증가","HP가 #z% 이하일 때 공격력, 방어력 #x% 증가",
0001094,,,,,
0001095,,,,,
0000097,,전방의 적 다수에게 일격을 가한다.\n[발동 커맨드 : #c공격키#],,#damage% 데미지로 최대 #mobCount명의 적을 공격,
0001098,,점프 중 한 번 더 도약하여 먼 거리를 이동한다.,,"MP 소비 없이, 일정 거리 점프\n재사용 대기시간 #cooltime초",
0000099,,도끼를 거대한 검으로 변화시켜 전방의 적 다수를 동시에 공격하며 일정 시간 동안 빙결시킨다. #c아이스 게이지 20 이상# 모였을 때만 사용할 수 있다.\n[발동 커맨드 : #c↑↑+ 공격키#],,"아이스게이지 #iceGageCon 소비, #damage% 데미지로 최대 #mobCount명의 적 공격, #prop% 확률로 #time초 동안 빙결",
0000100,,강력한 얼음의 힘으로 주변의 적 다수를 동시에 공격하며 일정 시간 동안 도트 데미지를 준다. #c아이스 게이지 40 이상# 모였을 때만 사용할 수 있다.\n[발동 커맨드 : #c↓→ + 공격키#],,"아이스게이지 #iceGageCon 소비, 최대 #mobCount명의 적을 #damage% 데미지로 #attackCount번 공격, #dotTime초 동안 1초당 #dot%의 도트 데미지",
0000103,,도끼를 강하게 휘둘러 전방의 적 다수를 동시에 공격하며 일정 확률로 기절시킨다. #c아이스 게이지 5 이상# 모였을 때만 사용할 수 있다.\n[발동 커맨드 : #c↓ + 공격키#],,"아이스게이지 #iceGageCon 소비, #damage% 데미지로 최대 #mobCount명의 적 공격, #prop% 확률로 #time초 동안 기절",
0000104,,강력한 저주를 걸어 일정 시간 동안 모든 챌린져를 아이스 달팽이로 변신시킨다. #c아이스 게이지 160 이상# 모였을 때만 사용할 수 있다.\n[발동 커맨드 : #c↓↑ + 공격키#],,"아이스게이지 #iceGageCon 소비, #prop% 확률로 #time초 동안 모든 챌린져를 아이스 달팽이로 변신시킴.",
0001105,,알 수 없는 힘에 의해 아이스나이트가 되었습니다. 제한시간 동안 챌린져들을 쓰러뜨리며 살아남으세요.,,알 수 없는 힘에 의해 아이스나이트가 되었습니다. 제한시간 동안 챌린져들을 쓰러뜨리며 살아남으세요.,
0001179,[마스터 레벨 : 1]\n화이트 엔젤릭 블레스에 봉인된 화이트 엔젤을 소환한다.,,,,
0000180,[마스터 레벨 : 1]\n화이트 엔젤의 축복을 받았다.,,,,
0000190,연합의 의지에 따라 강한 힘을 발휘한다.,,"영구적으로 힘 #strX, 민첩 #dexX, 지능 #intX, 행운 #lukX, 공격력 #padX, 마력 #madX 증가",,
0001196,자신을 수호하는 정령을 소환한다. 캐릭터가 공격한 적들에게 자동으로 범위 공격을 가한다. 레벨이 15 오를때 마다 스킬 레벨 1을 올릴 수 있다.,자신을 수호하는 정령을 소환한다. 소울은 주위에 근접한 적들을 자동으로 공격한다,"MP #mpCon 소비, #time초 동안 공격력 #damage%의 소울 소환\n궁극의 모험가 스킬 소환수의 데미지는 캐릭터와 다르게 계산됨","MP #mpCon 소비, #time초 동안 공격력 #damage%의 소울 소환",
0001197,자신을 수호하는 정령을 소환한다. 캐릭터가 공격한 적들에게 자동으로 범위 공격을 가한다. 레벨이 15 오를때 마다 스킬 레벨 1을 올릴 수 있다.,자신을 수호하는 정령을 소환한다. 플레임은 주위에 근접한 적들을 자동으로 공격한다,"MP #mpCon 소비, #time초 동안 공격력 #damage%의 플레임 소환\n궁극의 모험가 스킬 소환수의 데미지는 캐릭터와 다르게 계산됨","MP #mpCon 소비, #time초 동안 공격력 #damage%의 플레임 소환",
0001198,자신을 수호하는 정령을 소환한다. 캐릭터가 공격한 적들에게 자동으로 범위 공격을 가한다. 레벨이 15 오를때 마다 스킬 레벨 1을 올릴 수 있다.,자신을 수호하는 정령을 소환한다. 스톰은 주위에 근접한 적들을 자동으로 공격한다,"MP #mpCon 소비, #time초 동안 공격력 #damage%의 스톰 소환\n궁극의 모험가 스킬 소환수의 데미지는 캐릭터와 다르게 계산됨","MP #mpCon 소비, #time초 동안 공격력 #damage%의 스톰 소환",
0001199,자신을 수호하는 정령을 소환한다. 캐릭터가 공격한 적들에게 자동으로 범위 공격을 가한다. 레벨이 15 오를때 마다 스킬 레벨 1을 올릴 수 있다.,자신을 수호하는 정령을 소환한다. 다크니스는 주위에 근접한 적들을 자동으로 공격한다,"MP #mpCon 소비, #time초 동안 공격력 #damage%의 다크니스 소환\n궁극의 모험가 스킬 소환수의 데미지는 캐릭터와 다르게 계산됨","MP #mpCon 소비, #time초 동안 공격력 #damage%의 다크니스 소환",
0001200,자신을 수호하는 정령을 소환한다. 캐릭터가 공격한 적들에게 자동으로 범위 공격을 가한다. 레벨이 15 오를때 마다 스킬 레벨 1을 올릴 수 있다.,자신을 수호하는 정령을 소환한다. 라이트닝은 주위에 근접한 적들을 자동으로 공격한다,"MP #mpCon 소비, #time초 동안 공격력 #damage%의 라이트닝 소환\n궁극의 모험가 스킬 소환수의 데미지는 캐릭터와 다르게 계산됨","MP #mpCon 소비, #time초 동안 공격력 #damage%의 라이트닝 소환",
0001251,월드 내 다른 캐릭터의 링크 스킬을 전수 받거나 현재 전수 받고 있는 링크 스킬을 해제할 수 있다. ,,자신의 링크 스킬 전수 상태를 관리,,
0000252,"꺾이지 않는 신념을 가져 위기 상황일 때 HP를 대량으로 회복한다.\n마을 및 특정한 회복 불가 상황에서는 발동되지 않고 재사용 대기시간 초기화, 버프 지속시간 증가, 회복 스킬 효율 증가 및 감소의 효과를 받지 않는다.\n월드 내 서로 다른 모험가 전사 직업군이 존재할 경우 한 캐릭터에 최대 3번 중복해서 링크 스킬 지급이 가능하다.",,현재 HP가 최대 HP의 #x% 이하가 되었을 때 자동 발동되어 #time초 동안 1초 마다 최대 HP의 #y% 회복\n재발동 대기시간 #cooltime초,,
0000253,"꺾이지 않는 신념을 가져 위기 상황일 때 HP를 대량으로 회복한다.\n마을 및 특정한 회복 불가 상황에서는 발동되지 않고 재사용 대기시간 초기화, 버프 지속시간 증가, 회복 스킬 효율 증가 및 감소의 효과를 받지 않는다.\n월드 내 서로 다른 모험가 전사 직업군이 존재할 경우 한 캐릭터에 최대 3번 중복해서 링크 스킬 지급이 가능하다.",,현재 HP가 최대 HP의 #x% 이하가 되었을 때 자동 발동되어 #time초 동안 1초 마다 최대 HP의 #y% 회복\n재발동 대기시간 #cooltime초,,
0000254,"꺾이지 않는 신념을 가져 위기 상황일 때 HP를 대량으로 회복한다.\n마을 및 특정한 회복 불가 상황에서는 발동되지 않고 재사용 대기시간 초기화, 버프 지속시간 증가, 회복 스킬 효율 증가 및 감소의 효과를 받지 않는다.\n월드 내 서로 다른 모험가 전사 직업군이 존재할 경우 한 캐릭터에 최대 3번 중복해서 링크 스킬 지급이 가능하다.",,현재 HP가 최대 HP의 #x% 이하가 되었을 때 자동 발동되어 #time초 동안 1초 마다 최대 HP의 #y% 회복\n재발동 대기시간 #cooltime초,,
0000255,실전적인 탐구를 통해 약점을 파악하여 해당 적에 대한 데미지와 방어율 무시를 점차 증가시킨다.\n월드 내 서로 다른 모험가 마법사 직업군이 존재할 경우 한 캐릭터에 최대 3번 중복해서 링크 스킬 지급이 가능하다.,,"공격한 적 중 최대 HP가 가장 높은 적에 대한 약점을 #prop% 확률로 파악, 파악한 약점은 #time초 동안 지속되며 최대 #x회까지 중첩\n중첩 당 데미지 #y%, 방어율 무시 #y% 증가",,
0000256,실전적인 탐구를 통해 약점을 파악하여 해당 적에 대한 데미지와 방어율 무시를 점차 증가시킨다.\n월드 내 서로 다른 모험가 마법사 직업군이 존재할 경우 한 캐릭터에 최대 3번 중복해서 링크 스킬 지급이 가능하다.,,"공격한 적 중 최대 HP가 가장 높은 적에 대한 약점을 #prop% 확률로 파악, 파악한 약점은 #time초 동안 지속되며 최대 #x회까지 중첩\n중첩 당 데미지 #y%, 방어율 무시 #y% 증가",,
0000257,실전적인 탐구를 통해 약점을 파악하여 해당 적에 대한 데미지와 방어율 무시를 점차 증가시킨다.\n월드 내 서로 다른 모험가 마법사 직업군이 존재할 경우 한 캐릭터에 최대 3번 중복해서 링크 스킬 지급이 가능하다.,,"공격한 적 중 최대 HP가 가장 높은 적에 대한 약점을 #prop% 확률로 파악, 파악한 약점은 #time초 동안 지속되며 최대 #x회까지 중첩\n중첩 당 데미지 #y%, 방어율 무시 #y% 증가",,
0000258,특유의 호기심을 발휘해 몬스터 컬렉션 등록 확률과 크리티컬 확률을 증가시킨다.\n몬스터 컬렉션 등록 확률은 기존 확률에 곱적용으로 적용된다.\n월드 내 서로 다른 모험가 궁수 직업군이 존재할 경우 한 캐릭터에 최대 3번 중복해서 링크 스킬 지급이 가능하다.,,"몬스터 컬렉션 등록 확률 #incMobCollectionProp%, 크리티컬 확률 #cr% 증가",,
0000259,특유의 호기심을 발휘해 몬스터 컬렉션 등록 확률과 크리티컬 확률을 증가시킨다.\n몬스터 컬렉션 등록 확률은 기존 확률에 곱적용으로 적용된다.\n월드 내 서로 다른 모험가 궁수 직업군이 존재할 경우 한 캐릭터에 최대 3번 중복해서 링크 스킬 지급이 가능하다.,,"몬스터 컬렉션 등록 확률 #incMobCollectionProp%, 크리티컬 확률 #cr% 증가",,
0000260,특유의 호기심을 발휘해 몬스터 컬렉션 등록 확률과 크리티컬 확률을 증가시킨다.\n몬스터 컬렉션 등록 확률은 기존 확률에 곱적용으로 적용된다.\n월드 내 서로 다른 모험가 궁수 직업군이 존재할 경우 한 캐릭터에 최대 3번 중복해서 링크 스킬 지급이 가능하다.,,"몬스터 컬렉션 등록 확률 #incMobCollectionProp%, 크리티컬 확률 #cr% 증가",,
0000261,"도적 특유의 교활함을 발휘해 적을 약화시키면 데미지가 증가한다.\n재사용 대기시간 초기화, 버프 지속시간 증가의 효과를 받지 않는다.\n월드 내 서로 다른 모험가 도적 직업군이 존재할 경우 한 캐릭터에 최대 3번 중복해서 링크 스킬 지급이 가능하다.",,적에게 상태 이상을 적용시키면 #time초 동안 데미지 #indieDamR% 증가\n재발동 대기시간 #cooltime초	,,
0000262,"도적 특유의 교활함을 발휘해 적을 약화시키면 데미지가 증가한다.\n재사용 대기시간 초기화, 버프 지속시간 증가의 효과를 받지 않는다.\n월드 내 서로 다른 모험가 도적 직업군이 존재할 경우 한 캐릭터에 최대 3번 중복해서 링크 스킬 지급이 가능하다.",,적에게 상태 이상을 적용시키면 #time초 동안 데미지 #indieDamR% 증가\n재발동 대기시간 #cooltime초	,,
0000263,"도적 특유의 교활함을 발휘해 적을 약화시키면 데미지가 증가한다.\n재사용 대기시간 초기화, 버프 지속시간 증가의 효과를 받지 않는다.\n월드 내 서로 다른 모험가 도적 직업군이 존재할 경우 한 캐릭터에 최대 3번 중복해서 링크 스킬 지급이 가능하다.",,적에게 상태 이상을 적용시키면 #time초 동안 데미지 #indieDamR% 증가\n재발동 대기시간 #cooltime초	,,
0000264,"해적 특유의 강인함을 익혀 각종 스탯이 증가하고 피격 데미지가 감소된다.\n월드 내 서로 다른 모험가 해적 직업군이 존재할 경우 한 캐릭터에 최대 3번 중복해서 링크 스킬 지급이 가능하다.\n스킬을 사용하면 무기, 보조 무기, 아케인심볼, 어센틱심볼, 펫장비를 제외한 부위에 장착된 장비의 힘과 민첩이 바뀌어 적용된다.",,"힘 #strX, 민첩 #dexX, 지력 #intX, 운 #lukX , 최대 HP #mhpX, 최대 MP #mmpX 증가\n피격 데미지 #damAbsorbShieldR% 감소\n재사용 대기시간 #cooltime초",,
0000265,"해적 특유의 강인함을 익혀 각종 스탯이 증가하고 피격 데미지가 감소된다.\n월드 내 서로 다른 모험가 해적 직업군이 존재할 경우 한 캐릭터에 최대 3번 중복해서 링크 스킬 지급이 가능하다.\n스킬을 사용하면 무기, 보조 무기, 아케인심볼, 어센틱심볼, 펫장비를 제외한 부위에 장착된 장비의 힘과 민첩이 바뀌어 적용된다.",,"힘 #strX, 민첩 #dexX, 지력 #intX, 운 #lukX , 최대 HP #mhpX, 최대 MP #mmpX 증가\n피격 데미지 #damAbsorbShieldR% 감소\n재사용 대기시간 #cooltime초",,
0000110,"해적 특유의 강인함을 익혀 각종 스탯이 증가하고 피격 데미지가 감소된다.\n월드 내 서로 다른 모험가 해적 직업군이 존재할 경우 한 캐릭터에 최대 3번 중복해서 링크 스킬 지급이 가능하다.\n스킬을 사용하면 무기, 보조 무기, 아케인심볼, 어센틱심볼, 펫장비를 제외한 부위에 장착된 장비의 힘과 민첩이 바뀌어 적용된다.",,"힘 #strX, 민첩 #dexX, 지력 #intX, 운 #lukX , 최대 HP #mhpX, 최대 MP #mmpX 증가\n피격 데미지 #damAbsorbShieldR% 감소\n재사용 대기시간 #cooltime초",,
0001281,메이플 아일랜드로 돌아간다.,,사용 시 메이플 아일랜드의 사우스페리 항구로 귀환.\n#c재사용 대기시간 #cooltime초,,
0001282,비화원으로 돌아간다.,,사용 시 커닝시티 뒷골목으로 귀환.\n#c재사용 대기시간 #cooltime초,,
0001283,노틸러스로 돌아간다.,,사용 시 노틸러스 선착장으로 귀환.\n#c재사용 대기시간 #cooltime초,,
0001297,카루파의 마을로 돌아간다.,,사용 시 카루파의 마을로 귀환.\n\c재사용 대기시간 #cooltime초,,
1001005,MP를 소비하여 주위의 적 다수를 동시에 공격한다.,MP를 소비하여 주위의 적 다수를 동시에 공격한다.,"MP #mpCon 소비, #damage% 데미지로 최대 #mobCount명의 적을 공격","MP #mpCon 소비, #damage% 데미지로 최대 #mobCount명의 적을 공격",
1001008,점프 중 사용하면 진행 방향으로 한 번 더 점프한다. 스킬 레벨이 증가할수록 점프 거리가 증가한다.,,"MP #mpCon 소비, 일정 거리 점프",,
1001011,공중으로 돌진하며 적을 공격한다. 위 방향키와 공격키를 함께 눌러서도 사용가능하다.\n#c커맨드 잠금 : 마우스 우클릭#,,"MP #mpCon 소비, 최대 #mobCount명의 적을 #damage% 데미지로 공격",,
1001010,공중에서 지상으로 급강하하여 적을 습격한다.\n아래 방향으로 일정 범위 안에 발판이 있어야 사용 가능하고 스킬 사용 시 좌우 방향키와 함께 사용하면 대각선으로 강하한다.\n스킬 대신 아래 방향키/좌우 방향키와 공격키를 함께 눌러서도 사용 가능하다.,,"MP #mpCon 소비, 최대 #mobCount명의 적에게 #damage%의 데미지로 #attackCount번 공격",,
1000003,"자신의 방어력과 최대 HP를 일정 비율 증가시키고, 적에게 피격 시 받는 데미지가 감소한다.",,"방어력 #pddX, 최대 HP #mhpR% 증가. 적에게 피격 시 데미지 #damAbsorbShieldR% 감소",,
1000009,"전사의 기본 소양을 길러 이동속도와 점프력, 최대 HP, 최대 이동속도가 증가하고 적의 공격에 일정 확률로 물러서지 않는다.",,"이동속도 #psdSpeed, 점프력 #psdJump, 최대 이동속도 #speedMax, 레벨당 최대 HP #lv2mhp, 스탠스 확률 #stanceProp% 증가",,
1000007,방어력에 비례하여 대난투 공격력이 증가한다.,방어력에 비례하여 대난투 공격력이 증가한다.,방어력 #x 당 대난투 공격력 1 증가,방어력 #x 당 대난투 공격력 1 증가,
1101011,#c[검술]# 눈 앞의 적 여러명을 두 번 연속 공격한다.,눈 앞의 적 여러명을 방어율을 무시하고 두 번 연속 공격한다.,"MP #mpCon 소비, #mobCount명의 적을 #damage% 데미지로 #attackCount번 공격","MP #mpCon 소비, #mobCount명의 적을 #damage% 데미지로 #attackCount번 공격",
1101014,섬광과 같이 적에게 돌진하며 경로에 있는 적을 벤다. 방향키와 조합하여 8방향으로 적을 찾을 수 있다. 시전 동작 중 어떠한 공격에도 밀리지 않는다.,,"MP #mpCon 소비, 적에게 돌진하며 최대 #mobCount명의 적을 #damage%의 데미지로 #attackCount번 공격\n재사용 대기시간 #cooltime초",,
1101013,활성화되면 공격할 때마다 일정 확률로 콤보 카운터가 누적된다. 최대 다섯 개의 콤보 카운터를 쌓을 수 있다.\n스킬 사용 시 효과가 활성화되고 재사용 시 비활성화되는 #c온오프 스킬#\n#c콤보 카운터 이펙트 온오프 : 마우스 우클릭#,,"활성화 시 공격할 때마다 #prop%의 확률로 콤보 카운트 누적\n콤보 카운터 당 공격력 #y 증가, 최대 콤보 카운트 #x",,
1101006,검과 영혼이 일체가 되어 일정 시간 동안 자신을 포함한 파티원의 공격력을 증가시키고 자신이 받는 데미지를 증폭시켜 반사한다. ,,"MP #mpCon 소비, #time초 동안 자신을 포함한 파티원의 공격력 #indiePad 증가\n피격 데미지 #indiePowerGuard% 감소 후 #y% 증폭시켜 반사",,
1100000,검과 도끼 숙련도와 공격 속도를 증가시키고 최종 데미지가 증가한다. \n#c4차 스킬 '어드밴스드 콤보'를 익히기 위해 10레벨 이상 필요#,,"검과 도끼 숙련도 #mastery%, 공격 속도 1단계, 최종 데미지 #pdR% 증가\n도끼 착용 시 데미지 5% 증가",,
1100015,공격 속도와 힘이 증가한다.\n필요 스킬 : #c웨폰 마스터리 5레벨 이상#,,"공격 속도 2단계, 힘 #strX 증가",,
1100002,"일정 확률로 직접 공격하는 공격 스킬이 사용된 후 추가 타격이 발동된다. 단, 반드시 검과 도끼를 들었을 경우에만 발동이 가능하다.\n필요 스킬 : #c웨폰 마스터리 3레벨 이상#\n#c4차 스킬 '어드밴스드 파이널 어택'을 익히기 위해 20레벨 이상 필요",,#c[파이널 어택류 스킬]# #prop% 확률로 #damage% 데미지의 파이널 어택 발동,,
1100009,신체 단련을 통해 영구적으로 힘과 민첩성을 증가시킨다.,,"영구적으로 힘 #strX, 민첩성 #dexX 증가",,
1111010,#c[검술]# 전방의 적 다수를 세번 연속 공격한다.,전방의 적 다수를 세번 연속 공격한다.,"MP #mpCon 소비, 최대 #mobCount명의 적을 #damage% 데미지로 #attackCount번 공격","MP #mpCon 소비, 최대 #mobCount명의 적을 #damage% 데미지로 #attackCount번 공격",
1111016,원하는 방향으로 적을 찢어발기는 검기를 날린다. #c8방향#으로 날릴 수 있어 방향키와 함께 사용하면 해당 방향으로 날린다.,,"MP #mpCon 소비, 최대 #mobCount명의 적을 #damage%의 데미지로 #attackCount번 공격하는 검기 발사\n오라 블레이드의 일반 몬스터 공격 시 데미지 #u%p 증가\n재사용 대기시간 #cooltime초",,
1111012,전방으로 거칠게 돌격하며 자신 앞에 있는 적 다수를 밀고 지나간다. 일부 몬스터는 저항하여 밀리지 않는다.,전방으로 거칠게 돌격하며 자신 앞에 있는 적 다수를 밀고 지나간다. 일정 시간 동안 대상을 감속상태로 만들 수 있다.,"MP #mpCon 소비, #damage% 데미지로 최대 #mobCount명의 적을 공격하며 이동","MP #mpCon 소비, #damage% 데미지로 최대 #mobCount명의 적을 공격하며 이동, #time초 동안 대상의 이동속도 #x\n재사용 대기시간 #cooltime초",
1111003,검에 예기가 더해져 적에게 지워지지 않는 흉터를 남긴다.,,"MP #mpCon 소모, #time초 동안 지속되며 지속 중 적에게 공격 적중 시 #prop%의 확률로 자상을 새김\n자상을 입은 적은 #v초 동안 명중률 #x%, 공격력 #w% 감소",,
1110013,콤보 카운터 1개당 최종 데미지가 증가하고 콤보 카운터가 누적 될 확률을 증가시킨다.\n#c4차 스킬 '어드밴스드 콤보'를 익히기 위해 20레벨 이상 필요#,,"공격할 때마다 #prop%의 확률로 콤보 카운터 누적. 콤보 카운터 당 최종 데미지 #damR% 증가, 콤보 카운터간에는 합 적용. 피격 시 #subProp% 확률로 콤보 카운터 충전",,
1110000,일정 주기마다 HP와 MP를 회복할 수 있다. 전투 중에도 회복이 가능하다.,,"#u초마다 최대 HP의 #x%, 최대 MP의 #y% 회복",,"일정 주기마다 HP #hcHp, MP #mp 추가 회복"
1110009,취약해진 적을 공격할 때 더 큰 데미지를 줄 수 있다. 추가로 영구히 크리티컬 확률이 증가한다.,,"자상, 행동 불가 상태의 적 공격 시 최종 데미지 #x% 증가\n영구히 크리티컬 확률 #cr% 증가",,
1110011,자신의 상태 이상 저항과 모든 속성 내성을 강화한다.,,"상태 이상 내성 #asrR, 모든 속성 내성 #terR% 증가",,
1121008,"#c[검술]# 전방의 적 다수를 순식간에 여러 번 베어낸다. 마지막 공격은 반드시 크리티컬로 적용된다. 콤보가 완충되면 스킬이 강화된다. 추가로 오라 블레이드를 강화한다.\n#c하이퍼 스킬 '발할라', 5차 스킬 '소드 오브 버닝 소울', 5차 스킬 '콤보 인스팅트'를 익히기 위해 30레벨 이상 필요#",,"MP #mpCon 소비, 최대 #mobCount명의 적을 #damage% 데미지로 #attackCount번 공격하고 마지막 공격은 크리티컬 판정\n#c강화 레이징 블로우# : #x%의 데미지로 #y번 공격, 마지막 두 번의 공격은 크리티컬 판정\n[패시브 효과 : 오라 블레이드의 데미지 #damPlus%p 증가]",,
1120017,전방의 적을 여러 번 연속 공격 한다. #c마지막 두 번의 공격은 반드시 크리티컬로 적용#된다.,,"MP #mpCon 소비, 최대 #mobCount명의 적을 #damage% 데미지로 #attackCount번 공격하고 #c마지막 두 번의 공격은 크리티컬 판정#",,
1121015,"#c[검술]# 정신을 집중하여 전방으로 검을 크게 내리긋는다. 궁극의 검술로 영혼에 새겨진 검이 실체화되어 공격하는 것처럼 보인다. 공격 당한 적은 상처를 입어 일정 시간 동안 도트 데미지를 입고, 도트 데미지를 입는 동안 #c크리티컬에 의한 피해량이 증가#한다.\n필요 스킬 : #c어드밴스드 콤보 20레벨 이상#",,"MP #mpCon 소비, #mobCount명의 적에게 #damage%의 데미지로 #attackCount번 공격, 일반 몬스터 공격 시 데미지 #nbdR% 증가\n공격당한 적은 #prop% 확률로 #dotTime초 동안 #dotInterval초마다 #dot%의 피해를 입으며 #c크리티컬에 한해 데미지 #x% 증가#, 파티원이 공격 시 #u% 증가",,
1121016,"일정 확률로 주변 적들에게 적용된 #c일부 버프를 해제#하며, 지정된 시간 동안 버프 효과가 적용될 수 없도록 제한한다.\n공격을 받은 적은 90초 동안 매직 크래쉬 상태 이상에 저항한다. 해제되는 버프는 공격력/마력 증가, 방어력 증가, 하드 스킨이다.","일정 확률로 주변 적들에게 적용된 #c모든 버프를 해제#하며, 지정된 시간 동안 버프 효과가 적용될 수 없도록 제한한다.","MP #mpCon 소비, #prop% 확률로 #c일부 버프 해제#, #time초 동안 #mobCount명의 적의 버프 효과 제한\n재사용 대기시간 #cooltime초","MP #mpCon 소비, #prop% 확률로 #c모든 버프 해제#, #time초 동안 #mobCount명의 적의 버프 효과 제한\n재사용 대기시간 #cooltime초","MP #mpCon 소비, #prop% 확률로 #c모든 버프 해제#, #time초 동안 #mobCount명의 적의 버프 효과 제한\n재사용 대기시간 #cooltime초"
1121010,충전된 콤보 카운터의 힘을 폭발시킨다. #c적을 집중 공격#할 수 있는 상태가 되어 데미지가 비약적으로 증가한다.\n스킬 사용 시 효과가 활성화되고 재사용 시 비활성화되는 #c온오프 스킬\n#필요 스킬 : #c어드밴스드 콤보 30레벨 이상#,,"MP #mpCon 소비\n최종 데미지 #x%, 크리티컬 데미지 #y% 증가\n일부 소환수를 제외한 자신의 모든 공격 스킬 최대 공격 가능한 몬스터 수 1/#w로 감소, 1명만 공격 가능한 스킬이 아닌 스킬의 최소치 #mobCount명",,
